19,Non-binary,Freshman,Psychology,1850,270,1400,709,296,123,188,41,78,134,127,72.0,Credit/Debit Card
24,Female,Junior,Economics,1550,875,1700,557,365,85,252,74,92,226,129,68.0,Credit/Debit Card
24,Non-binary,Junior,Economics,1575,928,1675,666,220,137,99,130,23,239,112,33.25,Cash
23,Female,Senior,Computer Science,1450,265,1800,652,289,114,223,99,30,163,105,13.75,Mobile Payment App
20,Female,Senior,Computer Science,1425,522,1825,825,372,168,194,48,71,88,71,104.0,Credit/Debit Card
25,Non-binary,Sophomore,Computer Science,1675,790,1575,413,386,122,131,73,38,234,108,24.75,Mobile Payment App
23,Female,Freshman,Engineering,1875,269,1375,812,398,101,213,21,38,157,117,48.0,Credit/Debit Card
23,Female,Junior,Economics,1525,748,1675,571,269,92,251,37,90,152,56,15.5,Mobile Payment App
22,Non-binary,Senior,Computer Science,1425,248,1825,599,354,82,155,123,41,162,172,194.0,Credit/Debit Card
18,Female,Junior,Computer Science,1550,274,1700,626,249,117,123,51,74,243,34,49.0,Mobile Payment App
23,Male,Junior,Biology,1575,615,1675,660,262,58,183,98,21,274,66,12.5,Credit/Debit Card
25,Male,Freshman,Engineering,1875,219,1375,734,243,200,228,57,57,209,193,146.0,Credit/Debit Card
21,Male,Sophomore,Economics,1675,540,1575,894,280,120,126,41,50,78,113,114.0,Credit/Debit Card
19,Female,Junior,Biology,1550,859,1700,626,234,50,274,20,77,125,199,103.0,Mobile Payment App
24,Non-binary,Freshman,Economics,1850,275,1400,657,151,63,92,124,64,196,50,117.0,Cash
22,Non-binary,Sophomore,Computer Science,1675,226,1575,884,328,167,175,111,96,73,154,109.0,Cash
23,Female,Freshman,Psychology,1875,237,1375,883,361,200,141,76,22,285,185,76.0,Cash
21,Female,Freshman,Computer Science,1850,851,1400,754,357,110,188,33,24,50,74,46.0,Mobile Payment App
19,Female,Sophomore,Psychology,1675,311,1575,883,292,69,51,75,60,105,181,164.0,Credit/Debit Card
20,Female,Senior,Engineering,1450,401,1800,886,196,131,216,57,39,264,39,174.0,Mobile Payment App
24,Male,Sophomore,Computer Science,1675,549,1575,814,286,180,282,55,25,77,73,184.0,Mobile Payment App
18,Non-binary,Sophomore,Biology,1675,610,1575,473,159,134,294,37,86,159,60,43.0,Cash
24,Non-binary,Senior,Economics,1425,285,1825,421,348,138,143,62,85,218,113,15.0,Credit/Debit Card
19,Female,Senior,Economics,1450,256,1800,731,238,103,76,111,95,238,74,83.0,Mobile Payment App
25,Female,Junior,Biology,1550,528,1700,789,400,81,211,95,74,237,140,34.0,Mobile Payment App
20,Male,Senior,Economics,1425,690,1825,762,173,185,288,53,38,84,159,137.0,Credit/Debit Card
20,Female,Junior,Psychology,1575,705,1675,664,291,179,260,127,21,113,194,80.0,Credit/Debit Card
24,Non-binary,Sophomore,Psychology,1675,671,1575,444,163,131,141,132,31,156,95,128.0,Credit/Debit Card
23,Non-binary,Junior,Engineering,1550,448,1700,742,394,179,95,64,62,73,104,43.25,Mobile Payment App
23,Non-binary,Freshman,Economics,1875,303,1375,677,296,110,137,146,21,155,105,6.5,Mobile Payment App
23,Male,Sophomore,Psychology,1465,302,5417,468,113,190,134,119,82,276,165,47.75,Mobile Payment App
24,Non-binary,Junior,Computer Science,522,555,5236,860,169,133,147,123,48,138,89,150.0,Credit/Debit Card
